0,1,2,3,4,5,6,7,8,9,10
0316048,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316049,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316050,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0316051,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316052,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運
0316053,無線網路概論,網路通訊原理,訊號與系統,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0316054,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運
0316055,無線網路概論,網路通訊原理,密碼學概論,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0316056,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,組合語言與系統程式,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運
0316057,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二)
0316058,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二)
0316059,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0316060,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,科技創業與營運
0316061,無線網路概論,網路通訊原理,訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316062,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316063,無線網路概論,網路通訊原理,訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316064,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論
0316065,無線網路概論,競技程式設計(一),訊號與系統,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二)
0316066,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316067,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0316069,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論
0316070,網路通訊原理,無線網路概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0316071,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二)
0316073,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,組合語言與系統程式,影像處理概論,無人機自動飛航與電腦視覺概論,電路與電子學(二),嵌入式系統設計概論與實作
0316074,無線網路概論,人工智慧概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運
0316076,網路通訊原理,競技程式設計(一),訊號與系統,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0316077,網路通訊原理,無線網路概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運
0316078,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運
0316080,訊號與系統,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作,電路與電子學(二),,
0316081,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316083,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,組合語言與系統程式,數值方法,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0316084,資料庫系統概論,網路通訊原理,人工智慧概論,無線網路概論,競技程式設計(一),訊號與系統,影像處理概論,組合語言與系統程式,物聯網應用設計與實作,數值方法
