0,1,2,3,4,5,6,7,1,2,3,4,5
0316024,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,演算法,高等UNIX程式設計
0316025,無線網路概論,訊號與系統,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
0316026,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法
0316027,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法
0316028,無線網路概論,網路通訊原理,訊號與系統,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,無線網路,電腦動畫與特效,演算法,高等UNIX程式設計,使用者經驗與易用性評估
0316029,無線網路概論,網路通訊原理,密碼學概論,人工智慧概論,訊號與系統,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316030,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0316031,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,科技創業與營運,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316032,無線網路概論,網路通訊原理,訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316033,人工智慧概論,網路通訊原理,密碼學概論,電腦安全概論,訊號與系統,無線網路概論,競技程式設計(一),無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0316034,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,科技創業與營運,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316035,密碼學概論,競技程式設計(一),人工智慧概論,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,科技創業與營運,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316036,網路通訊原理,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦視覺,電腦動畫與特效
0316037,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計
0316038,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0316039,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,數位遊戲與學習,電腦動畫與特效,電腦視覺,高等UNIX程式設計
