0,1,2,3,4,5,6,7,8,9,10
0016225,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,嵌入式系統設計概論與實作,數值方法,,
0016226,人工智慧概論,密碼學概論,電腦安全概論,訊號與系統,網路通訊原理,嵌入式系統設計概論與實作,數值方法,,,
0016227,人工智慧概論,密碼學概論,網路通訊原理,電腦安全概論,影像處理概論,競技程式設計(一),數值方法,嵌入式系統設計概論與實作,物聯網應用設計與實作,
0016228,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,
0016229,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,
0016230,人工智慧概論,密碼學概論,網路通訊原理,電腦安全概論,訊號與系統,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016231,人工智慧概論,密碼學概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,,
0016233,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),
0016234,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016235,人工智慧概論,密碼學概論,無線網路概論,組合語言與系統程式,電腦安全概論,嵌入式系統設計概論與實作,,,,
0016236,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,組合語言與系統程式,訊號與系統,影像處理概論,,
0016237,人工智慧概論,密碼學概論,電腦安全概論,訊號與系統,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,
0016238,人工智慧概論,密碼學概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),,,
0016239,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,無線網路概論,訊號與系統,影像處理概論,網路通訊原理,嵌入式系統設計概論與實作
0016240,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,,
0016241,人工智慧概論,密碼學概論,訊號與系統,電腦安全概論,網路通訊原理,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,
0016242,資料庫系統概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016243,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,,
0016245,人工智慧概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,數值方法,競技程式設計(一),,
0016246,人工智慧概論,密碼學概論,電腦安全概論,影像處理概論,網路通訊原理,嵌入式系統設計概論與實作,數值方法,,,
0016247,人工智慧概論,密碼學概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0016249,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,,
0016251,資料庫系統概論,人工智慧概論,密碼學概論,電腦安全概論,無線網路概論,嵌入式系統設計概論與實作,數值方法,,,
0016252,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,訊號與系統,嵌入式系統設計概論與實作,數值方法,,
0016253,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,嵌入式系統設計概論與實作,數值方法,,
0016254,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,組合語言與系統程式,影像處理概論,數值方法,競技程式設計(一),
0016255,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,無線網路概論,訊號與系統,影像處理概論,網路通訊原理,嵌入式系統設計概論與實作
0016301,資料庫系統概論,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),,
0016302,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),
0016303,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),
0016304,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,數值方法,競技程式設計(一),,
